,Store,Date,Dept,Weekly_Sales,Fuel_Price,IsHoliday,CPI,Unemployment,month-year
29794,4,2010-02-26,72.0,130404.19,2.59,0,126.5522857,8.623,2010-02-01
29793,4,2010-02-26,31.0,2850.0,2.59,0,126.5522857,8.623,2010-02-01
29792,4,2010-02-26,6.0,10871.94,2.59,0,126.5522857,8.623,2010-02-01
29791,4,2010-02-26,10.0,35973.26,2.59,0,126.5522857,8.623,2010-02-01
29790,4,2010-02-26,58.0,6042.65,2.59,0,126.5522857,8.623,2010-02-01
29789,4,2010-02-26,8.0,66705.03,2.59,0,126.5522857,8.623,2010-02-01
29788,4,2010-02-26,18.0,1297.83,2.59,0,126.5522857,8.623,2010-02-01
29787,4,2010-02-26,41.0,564.0,2.59,0,126.5522857,8.623,2010-02-01
29786,4,2010-02-26,56.0,3660.27,2.59,0,126.5522857,8.623,2010-02-01
29785,4,2010-02-26,92.0,146064.26,2.59,0,126.5522857,8.623,2010-02-01
29784,4,2010-02-26,78.0,1.0,2.59,0,126.5522857,8.623,2010-02-01
29783,4,2010-02-26,36.0,758.0,2.59,0,126.5522857,8.623,2010-02-01
29782,4,2010-02-26,40.0,83254.38,2.59,0,126.5522857,8.623,2010-02-01
29780,4,2010-02-26,14.0,28956.69,2.59,0,126.5522857,8.623,2010-02-01
29761,4,2010-02-26,45.0,14.97,2.59,0,126.5522857,8.623,2010-02-01
29760,4,2010-02-26,81.0,27548.83,2.59,0,126.5522857,8.623,2010-02-01
29759,4,2010-02-26,37.0,5275.05,2.59,0,126.5522857,8.623,2010-02-01
29738,4,2010-02-19,3.0,15062.54,2.54,0,126.5262857,8.623,2010-02-01
29737,4,2010-02-19,22.0,19225.36,2.54,0,126.5262857,8.623,2010-02-01
29736,4,2010-02-19,90.0,85345.69,2.54,0,126.5262857,8.623,2010-02-01
29735,4,2010-02-19,59.0,1857.92,2.54,0,126.5262857,8.623,2010-02-01
29734,4,2010-02-19,54.0,347.0,2.54,0,126.5262857,8.623,2010-02-01
29733,4,2010-02-19,41.0,606.0,2.54,0,126.5262857,8.623,2010-02-01
29732,4,2010-02-19,30.0,8455.52,2.54,0,126.5262857,8.623,2010-02-01
29731,4,2010-02-19,99.0,8.98,2.54,0,126.5262857,8.623,2010-02-01
29730,4,2010-02-19,82.0,19945.11,2.54,0,126.5262857,8.623,2010-02-01
29729,4,2010-02-19,95.0,125396.47,2.54,0,126.5262857,8.623,2010-02-01
29728,4,2010-02-19,40.0,83546.43,2.54,0,126.5262857,8.623,2010-02-01
29727,4,2010-02-19,97.0,37470.52,2.54,0,126.5262857,8.623,2010-02-01
29726,4,2010-02-19,93.0,56633.16,2.54,0,126.5262857,8.623,2010-02-01
29725,4,2010-02-19,32.0,22677.73,2.54,0,126.5262857,8.623,2010-02-01
29724,4,2010-02-19,91.0,75107.05,2.54,0,126.5262857,8.623,2010-02-01
29739,4,2010-02-26,80.0,17567.28,2.59,0,126.5522857,8.623,2010-02-01
29740,4,2010-02-26,38.0,75038.64,2.59,0,126.5522857,8.623,2010-02-01
29741,4,2010-02-26,52.0,4069.03,2.59,0,126.5522857,8.623,2010-02-01
29742,4,2010-02-26,7.0,33186.53,2.59,0,126.5522857,8.623,2010-02-01
29758,4,2010-02-26,96.0,26314.44,2.59,0,126.5522857,8.623,2010-02-01
29757,4,2010-02-26,44.0,4535.78,2.59,0,126.5522857,8.623,2010-02-01
29756,4,2010-02-26,27.0,2686.04,2.59,0,126.5522857,8.623,2010-02-01
29755,4,2010-02-26,1.0,30107.54,2.59,0,126.5522857,8.623,2010-02-01
29754,4,2010-02-26,12.0,8821.43,2.59,0,126.5522857,8.623,2010-02-01
29753,4,2010-02-26,21.0,10383.02,2.59,0,126.5522857,8.623,2010-02-01
29752,4,2010-02-26,16.0,11943.48,2.59,0,126.5522857,8.623,2010-02-01
29797,4,2010-02-26,11.0,21829.06,2.59,0,126.5522857,8.623,2010-02-01
29751,4,2010-02-26,28.0,1071.35,2.59,0,126.5522857,8.623,2010-02-01
29749,4,2010-02-26,46.0,33716.7,2.59,0,126.5522857,8.623,2010-02-01
29748,4,2010-02-26,9.0,22819.83,2.59,0,126.5522857,8.623,2010-02-01
29747,4,2010-02-26,85.0,2780.97,2.59,0,126.5522857,8.623,2010-02-01
29746,4,2010-02-26,87.0,14518.76,2.59,0,126.5522857,8.623,2010-02-01
29745,4,2010-02-26,94.0,58584.93,2.59,0,126.5522857,8.623,2010-02-01
29744,4,2010-02-26,74.0,24782.89,2.59,0,126.5522857,8.623,2010-02-01
29743,4,2010-02-26,33.0,10176.74,2.59,0,126.5522857,8.623,2010-02-01
29750,4,2010-02-26,4.0,54687.08,2.59,0,126.5522857,8.623,2010-02-01
29798,4,2010-02-26,24.0,9100.34,2.59,0,126.5522857,8.623,2010-02-01
29799,4,2010-02-26,95.0,120345.62,2.59,0,126.5522857,8.623,2010-02-01
29800,4,2010-02-26,35.0,3426.0,2.59,0,126.5522857,8.623,2010-02-01
203057,22,2010-02-26,90.0,22721.49,2.753,0,135.5195191,8.283,2010-02-01
203058,22,2010-02-26,23.0,21707.48,2.753,0,135.5195191,8.283,2010-02-01
203059,22,2010-02-26,27.0,1863.84,2.753,0,135.5195191,8.283,2010-02-01
203060,22,2010-02-26,34.0,20627.26,2.753,0,135.5195191,8.283,2010-02-01
203061,22,2010-02-26,3.0,8311.47,2.753,0,135.5195191,8.283,2010-02-01
203062,22,2010-02-26,33.0,6717.27,2.753,0,135.5195191,8.283,2010-02-01
203063,22,2010-02-26,10.0,19023.17,2.753,0,135.5195191,8.283,2010-02-01
203064,22,2010-02-26,2.0,46873.95,2.753,0,135.5195191,8.283,2010-02-01
203065,22,2010-02-26,8.0,34057.18,2.753,0,135.5195191,8.283,2010-02-01
203066,22,2010-02-26,40.0,50550.0,2.753,0,135.5195191,8.283,2010-02-01
203067,22,2010-02-26,54.0,25.0,2.753,0,135.5195191,8.283,2010-02-01
203068,22,2010-02-26,48.0,15.0,2.753,0,135.5195191,8.283,2010-02-01
203069,22,2010-02-26,5.0,19393.69,2.753,0,135.5195191,8.283,2010-02-01
203070,22,2010-02-26,72.0,85897.74,2.753,0,135.5195191,8.283,2010-02-01
203071,22,2010-02-26,46.0,18527.93,2.753,0,135.5195191,8.283,2010-02-01
203056,22,2010-02-26,59.0,463.36,2.753,0,135.5195191,8.283,2010-02-01
203055,22,2010-02-26,56.0,354.2,2.753,0,135.5195191,8.283,2010-02-01
203054,22,2010-02-26,95.0,51955.45,2.753,0,135.5195191,8.283,2010-02-01
203053,22,2010-02-26,80.0,1209.36,2.753,0,135.5195191,8.283,2010-02-01
203036,22,2010-02-26,31.0,2667.5,2.753,0,135.5195191,8.283,2010-02-01
203037,22,2010-02-26,9.0,14520.94,2.753,0,135.5195191,8.283,2010-02-01
203038,22,2010-02-26,16.0,4050.57,2.753,0,135.5195191,8.283,2010-02-01
203039,22,2010-02-26,82.0,11306.33,2.753,0,135.5195191,8.283,2010-02-01
203040,22,2010-02-26,32.0,4297.12,2.753,0,135.5195191,8.283,2010-02-01
203041,22,2010-02-26,78.0,12.0,2.753,0,135.5195191,8.283,2010-02-01
203042,22,2010-02-26,18.0,1118.21,2.753,0,135.5195191,8.283,2010-02-01
203072,22,2010-02-26,81.0,13840.73,2.753,0,135.5195191,8.283,2010-02-01
203043,22,2010-02-26,74.0,18938.2,2.753,0,135.5195191,8.283,2010-02-01
203045,22,2010-02-26,30.0,4310.0,2.753,0,135.5195191,8.283,2010-02-01
203046,22,2010-02-26,67.0,7705.69,2.753,0,135.5195191,8.283,2010-02-01
203048,22,2010-02-26,92.0,48093.04,2.753,0,135.5195191,8.283,2010-02-01
203049,22,2010-02-26,1.0,14843.93,2.753,0,135.5195191,8.283,2010-02-01
203050,22,2010-02-26,51.0,46.67,2.753,0,135.5195191,8.283,2010-02-01
203051,22,2010-02-26,91.0,23248.91,2.753,0,135.5195191,8.283,2010-02-01
203052,22,2010-02-26,44.0,4355.49,2.753,0,135.5195191,8.283,2010-02-01
203044,22,2010-02-26,7.0,17701.96,2.753,0,135.5195191,8.283,2010-02-01
29723,4,2010-02-19,71.0,10788.9,2.54,0,126.5262857,8.623,2010-02-01
203073,22,2010-02-26,29.0,5783.61,2.753,0,135.5195191,8.283,2010-02-01
203075,22,2010-02-26,26.0,7323.17,2.753,0,135.5195191,8.283,2010-02-01
203096,22,2010-02-26,79.0,18109.69,2.753,0,135.5195191,8.283,2010-02-01
203097,22,2010-02-26,22.0,14208.96,2.753,0,135.5195191,8.283,2010-02-01
203098,22,2010-02-26,52.0,1159.18,2.753,0,135.5195191,8.283,2010-02-01
29812,4,2010-02-26,82.0,19688.0,2.59,0,126.5522857,8.623,2010-02-01
29811,4,2010-02-26,13.0,67867.44,2.59,0,126.5522857,8.623,2010-02-01
29810,4,2010-02-26,34.0,22230.5,2.59,0,126.5522857,8.623,2010-02-01
29809,4,2010-02-26,60.0,343.2,2.59,0,126.5522857,8.623,2010-02-01
29808,4,2010-02-26,91.0,66939.26,2.59,0,126.5522857,8.623,2010-02-01
29807,4,2010-02-26,25.0,12513.25,2.59,0,126.5522857,8.623,2010-02-01
29806,4,2010-02-26,97.0,33359.05,2.59,0,126.5522857,8.623,2010-02-01
29805,4,2010-02-26,51.0,10.0,2.59,0,126.5522857,8.623,2010-02-01
29804,4,2010-02-26,79.0,57823.73,2.59,0,126.5522857,8.623,2010-02-01
29803,4,2010-02-26,2.0,84405.45,2.59,0,126.5522857,8.623,2010-02-01
29802,4,2010-02-26,48.0,1368.0,2.59,0,126.5522857,8.623,2010-02-01
29801,4,2010-02-26,54.0,348.97,2.59,0,126.5522857,8.623,2010-02-01
203095,22,2010-02-26,20.0,6722.05,2.753,0,135.5195191,8.283,2010-02-01
203094,22,2010-02-26,85.0,2021.52,2.753,0,135.5195191,8.283,2010-02-01
203093,22,2010-02-26,38.0,56221.39,2.753,0,135.5195191,8.283,2010-02-01
203092,22,2010-02-26,55.0,12047.64,2.753,0,135.5195191,8.283,2010-02-01
203076,22,2010-02-26,41.0,376.0,2.753,0,135.5195191,8.283,2010-02-01
203077,22,2010-02-26,71.0,7227.94,2.753,0,135.5195191,8.283,2010-02-01
203078,22,2010-02-26,21.0,5278.29,2.753,0,135.5195191,8.283,2010-02-01
203079,22,2010-02-26,4.0,24727.13,2.753,0,135.5195191,8.283,2010-02-01
203080,22,2010-02-26,36.0,631.0,2.753,0,135.5195191,8.283,2010-02-01
203081,22,2010-02-26,42.0,6606.83,2.753,0,135.5195191,8.283,2010-02-01
203082,22,2010-02-26,11.0,12010.89,2.753,0,135.5195191,8.283,2010-02-01
203074,22,2010-02-26,6.0,3944.4,2.753,0,135.5195191,8.283,2010-02-01
203083,22,2010-02-26,60.0,341.4,2.753,0,135.5195191,8.283,2010-02-01
203085,22,2010-02-26,83.0,1249.02,2.753,0,135.5195191,8.283,2010-02-01
203086,22,2010-02-26,24.0,7733.02,2.753,0,135.5195191,8.283,2010-02-01
203087,22,2010-02-26,97.0,4448.53,2.753,0,135.5195191,8.283,2010-02-01
203088,22,2010-02-26,87.0,14473.52,2.753,0,135.5195191,8.283,2010-02-01
203089,22,2010-02-26,45.0,1.65,2.753,0,135.5195191,8.283,2010-02-01
203090,22,2010-02-26,35.0,2411.0,2.753,0,135.5195191,8.283,2010-02-01
203091,22,2010-02-26,58.0,3010.0,2.753,0,135.5195191,8.283,2010-02-01
203084,22,2010-02-26,25.0,6153.25,2.753,0,135.5195191,8.283,2010-02-01
203035,22,2010-02-26,17.0,17472.45,2.753,0,135.5195191,8.283,2010-02-01
29722,4,2010-02-19,20.0,9024.15,2.54,0,126.5262857,8.623,2010-02-01
29720,4,2010-02-19,81.0,27790.99,2.54,0,126.5262857,8.623,2010-02-01
29622,4,2010-02-12,97.0,38645.16,2.573,1,126.4962581,8.623,2010-02-01
29621,4,2010-02-12,42.0,8862.27,2.573,1,126.4962581,8.623,2010-02-01
29620,4,2010-02-12,91.0,75382.31,2.573,1,126.4962581,8.623,2010-02-01
29619,4,2010-02-12,5.0,48016.95,2.573,1,126.4962581,8.623,2010-02-01
29618,4,2010-02-12,16.0,8880.79,2.573,1,126.4962581,8.623,2010-02-01
29617,4,2010-02-12,22.0,20262.73,2.573,1,126.4962581,8.623,2010-02-01
29616,4,2010-02-12,23.0,46049.34,2.573,1,126.4962581,8.623,2010-02-01
29615,4,2010-02-12,67.0,26895.34,2.573,1,126.4962581,8.623,2010-02-01
29614,4,2010-02-12,11.0,24014.25,2.573,1,126.4962581,8.623,2010-02-01
29613,4,2010-02-12,38.0,85038.65,2.573,1,126.4962581,8.623,2010-02-01
29612,4,2010-02-12,55.0,24267.76,2.573,1,126.4962581,8.623,2010-02-01
29611,4,2010-02-12,40.0,82453.2,2.573,1,126.4962581,8.623,2010-02-01
29610,4,2010-02-12,94.0,64126.88,2.573,1,126.4962581,8.623,2010-02-01
29609,4,2010-02-12,81.0,29523.92,2.573,1,126.4962581,8.623,2010-02-01
29608,4,2010-02-12,12.0,6688.85,2.573,1,126.4962581,8.623,2010-02-01
29623,4,2010-02-12,14.0,29498.57,2.573,1,126.4962581,8.623,2010-02-01
29607,4,2010-02-12,3.0,16384.59,2.573,1,126.4962581,8.623,2010-02-01
29624,4,2010-02-12,4.0,54069.82,2.573,1,126.4962581,8.623,2010-02-01
29626,4,2010-02-12,46.0,36319.99,2.573,1,126.4962581,8.623,2010-02-01
29641,4,2010-02-12,47.0,498.0,2.573,1,126.4962581,8.623,2010-02-01
29640,4,2010-02-12,92.0,163407.19,2.573,1,126.4962581,8.623,2010-02-01
29639,4,2010-02-12,31.0,3664.0,2.573,1,126.4962581,8.623,2010-02-01
29638,4,2010-02-12,96.0,33496.85,2.573,1,126.4962581,8.623,2010-02-01
29637,4,2010-02-12,21.0,11226.39,2.573,1,126.4962581,8.623,2010-02-01
29636,4,2010-02-12,56.0,3344.76,2.573,1,126.4962581,8.623,2010-02-01
29635,4,2010-02-12,44.0,6408.56,2.573,1,126.4962581,8.623,2010-02-01
29634,4,2010-02-12,36.0,784.0,2.573,1,126.4962581,8.623,2010-02-01
29633,4,2010-02-12,90.0,90586.63,2.573,1,126.4962581,8.623,2010-02-01
29632,4,2010-02-12,51.0,5.0,2.573,1,126.4962581,8.623,2010-02-01
29631,4,2010-02-12,98.0,23025.1,2.573,1,126.4962581,8.623,2010-02-01
29630,4,2010-02-12,85.0,3220.31,2.573,1,126.4962581,8.623,2010-02-01
29629,4,2010-02-12,41.0,686.83,2.573,1,126.4962581,8.623,2010-02-01
29628,4,2010-02-12,17.0,18711.03,2.573,1,126.4962581,8.623,2010-02-01
29627,4,2010-02-12,80.0,19920.16,2.573,1,126.4962581,8.623,2010-02-01
29625,4,2010-02-12,33.0,12786.93,2.573,1,126.4962581,8.623,2010-02-01
29606,4,2010-02-12,83.0,10859.24,2.573,1,126.4962581,8.623,2010-02-01
29605,4,2010-02-12,79.0,57585.49,2.573,1,126.4962581,8.623,2010-02-01
29604,4,2010-02-12,20.0,8382.52,2.573,1,126.4962581,8.623,2010-02-01
29583,4,2010-02-05,71.0,9153.46,2.598,0,126.4420645,8.623,2010-02-01
29582,4,2010-02-05,49.0,6575.58,2.598,0,126.4420645,8.623,2010-02-01
29581,4,2010-02-05,97.0,38214.05,2.598,0,126.4420645,8.623,2010-02-01
29580,4,2010-02-05,18.0,10503.75,2.598,0,126.4420645,8.623,2010-02-01
29579,4,2010-02-05,19.0,4656.7,2.598,0,126.4420645,8.623,2010-02-01
29578,4,2010-02-05,56.0,2744.01,2.598,0,126.4420645,8.623,2010-02-01
29577,4,2010-02-05,48.0,1872.0,2.598,0,126.4420645,8.623,2010-02-01
29576,4,2010-02-05,72.0,138901.12,2.598,0,126.4420645,8.623,2010-02-01
29575,4,2010-02-05,5.0,48602.55,2.598,0,126.4420645,8.623,2010-02-01
29574,4,2010-02-05,11.0,30263.01,2.598,0,126.4420645,8.623,2010-02-01
29573,4,2010-02-05,80.0,16852.33,2.598,0,126.4420645,8.623,2010-02-01
29572,4,2010-02-05,31.0,3184.46,2.598,0,126.4420645,8.623,2010-02-01
29571,4,2010-02-05,42.0,9960.26,2.598,0,126.4420645,8.623,2010-02-01
29570,4,2010-02-05,24.0,11156.49,2.598,0,126.4420645,8.623,2010-02-01
29569,4,2010-02-05,46.0,34577.63,2.598,0,126.4420645,8.623,2010-02-01
29584,4,2010-02-05,95.0,130722.18,2.598,0,126.4420645,8.623,2010-02-01
29585,4,2010-02-05,44.0,5972.36,2.598,0,126.4420645,8.623,2010-02-01
29586,4,2010-02-05,12.0,8245.06,2.598,0,126.4420645,8.623,2010-02-01
29587,4,2010-02-05,30.0,8863.08,2.598,0,126.4420645,8.623,2010-02-01
29603,4,2010-02-12,45.0,2.5,2.573,1,126.4962581,8.623,2010-02-01
29602,4,2010-02-12,8.0,66308.14,2.573,1,126.4962581,8.623,2010-02-01
29601,4,2010-02-12,52.0,4501.35,2.573,1,126.4962581,8.623,2010-02-01
29600,4,2010-02-12,28.0,1098.87,2.573,1,126.4962581,8.623,2010-02-01
29599,4,2010-02-12,74.0,22241.12,2.573,1,126.4962581,8.623,2010-02-01
29598,4,2010-02-12,37.0,3873.03,2.573,1,126.4962581,8.623,2010-02-01
29597,4,2010-02-12,13.0,71040.18,2.573,1,126.4962581,8.623,2010-02-01
29642,4,2010-02-12,9.0,23199.13,2.573,1,126.4962581,8.623,2010-02-01
29596,4,2010-02-12,29.0,12901.02,2.573,1,126.4962581,8.623,2010-02-01
29594,4,2010-02-12,1.0,69872.44,2.573,1,126.4962581,8.623,2010-02-01
29593,4,2010-02-12,6.0,9609.3,2.573,1,126.4962581,8.623,2010-02-01
29592,4,2010-02-12,58.0,12414.7,2.573,1,126.4962581,8.623,2010-02-01
29591,4,2010-02-12,87.0,17507.69,2.573,1,126.4962581,8.623,2010-02-01
29590,4,2010-02-05,54.0,488.0,2.598,0,126.4420645,8.623,2010-02-01
29589,4,2010-02-05,41.0,401.94,2.598,0,126.4420645,8.623,2010-02-01
29588,4,2010-02-05,40.0,87370.88,2.598,0,126.4420645,8.623,2010-02-01
29595,4,2010-02-12,82.0,20151.74,2.573,1,126.4962581,8.623,2010-02-01
29643,4,2010-02-12,60.0,651.2,2.573,1,126.4962581,8.623,2010-02-01
29644,4,2010-02-12,2.0,85763.19,2.573,1,126.4962581,8.623,2010-02-01
29645,4,2010-02-12,32.0,26507.93,2.573,1,126.4962581,8.623,2010-02-01
29699,4,2010-02-19,10.0,32497.59,2.54,0,126.5262857,8.623,2010-02-01
29698,4,2010-02-19,13.0,68049.36,2.54,0,126.5262857,8.623,2010-02-01
29697,4,2010-02-19,33.0,11550.23,2.54,0,126.5262857,8.623,2010-02-01
29696,4,2010-02-19,26.0,21197.96,2.54,0,126.5262857,8.623,2010-02-01
29695,4,2010-02-19,92.0,155428.24,2.54,0,126.5262857,8.623,2010-02-01
29694,4,2010-02-19,42.0,9653.87,2.54,0,126.5262857,8.623,2010-02-01
29693,4,2010-02-19,31.0,3434.0,2.54,0,126.5262857,8.623,2010-02-01
29692,4,2010-02-19,79.0,56822.76,2.54,0,126.5262857,8.623,2010-02-01
29691,4,2010-02-19,96.0,28787.65,2.54,0,126.5262857,8.623,2010-02-01
29690,4,2010-02-19,29.0,11587.59,2.54,0,126.5262857,8.623,2010-02-01
29689,4,2010-02-19,44.0,4914.14,2.54,0,126.5262857,8.623,2010-02-01
29688,4,2010-02-19,94.0,65303.33,2.54,0,126.5262857,8.623,2010-02-01
29687,4,2010-02-19,46.0,34145.82,2.54,0,126.5262857,8.623,2010-02-01
29686,4,2010-02-19,16.0,10692.7,2.54,0,126.5262857,8.623,2010-02-01
29685,4,2010-02-19,98.0,14888.8,2.54,0,126.5262857,8.623,2010-02-01
29700,4,2010-02-19,1.0,49937.09,2.54,0,126.5262857,8.623,2010-02-01
29701,4,2010-02-19,85.0,2839.97,2.54,0,126.5262857,8.623,2010-02-01
29702,4,2010-02-19,5.0,45376.6,2.54,0,126.5262857,8.623,2010-02-01
29703,4,2010-02-19,56.0,4961.65,2.54,0,126.5262857,8.623,2010-02-01
29719,4,2010-02-19,35.0,4158.32,2.54,0,126.5262857,8.623,2010-02-01
29718,4,2010-02-19,34.0,23318.0,2.54,0,126.5262857,8.623,2010-02-01
29717,4,2010-02-19,7.0,35309.25,2.54,0,126.5262857,8.623,2010-02-01
29716,4,2010-02-19,25.0,14038.75,2.54,0,126.5262857,8.623,2010-02-01
29715,4,2010-02-19,19.0,3454.11,2.54,0,126.5262857,8.623,2010-02-01
29714,4,2010-02-19,14.0,26141.68,2.54,0,126.5262857,8.623,2010-02-01
29713,4,2010-02-19,72.0,121826.19,2.54,0,126.5262857,8.623,2010-02-01
29684,4,2010-02-19,83.0,12031.37,2.54,0,126.5262857,8.623,2010-02-01
29712,4,2010-02-19,48.0,1466.0,2.54,0,126.5262857,8.623,2010-02-01
29710,4,2010-02-19,60.0,431.2,2.54,0,126.5262857,8.623,2010-02-01
29709,4,2010-02-19,49.0,9222.99,2.54,0,126.5262857,8.623,2010-02-01
29708,4,2010-02-19,18.0,22876.75,2.54,0,126.5262857,8.623,2010-02-01
29707,4,2010-02-19,4.0,53939.17,2.54,0,126.5262857,8.623,2010-02-01
29706,4,2010-02-19,24.0,9933.58,2.54,0,126.5262857,8.623,2010-02-01
29705,4,2010-02-19,36.0,269.0,2.54,0,126.5262857,8.623,2010-02-01
29704,4,2010-02-19,51.0,5.0,2.54,0,126.5262857,8.623,2010-02-01
29711,4,2010-02-19,27.0,2759.0,2.54,0,126.5262857,8.623,2010-02-01
29721,4,2010-02-19,2.0,86570.21,2.54,0,126.5262857,8.623,2010-02-01
29683,4,2010-02-19,12.0,6791.47,2.54,0,126.5262857,8.623,2010-02-01
29681,4,2010-02-19,55.0,26016.14,2.54,0,126.5262857,8.623,2010-02-01
29660,4,2010-02-12,10.0,31909.34,2.573,1,126.4962581,8.623,2010-02-01
29659,4,2010-02-12,95.0,135621.5,2.573,1,126.4962581,8.623,2010-02-01
29658,4,2010-02-12,24.0,10783.25,2.573,1,126.4962581,8.623,2010-02-01
29657,4,2010-02-12,19.0,4707.84,2.573,1,126.4962581,8.623,2010-02-01
29656,4,2010-02-12,7.0,37175.62,2.573,1,126.4962581,8.623,2010-02-01
29655,4,2010-02-12,59.0,1336.46,2.573,1,126.4962581,8.623,2010-02-01
29654,4,2010-02-12,25.0,14753.25,2.573,1,126.4962581,8.623,2010-02-01
29653,4,2010-02-12,27.0,3239.0,2.573,1,126.4962581,8.623,2010-02-01
29652,4,2010-02-12,35.0,4685.0,2.573,1,126.4962581,8.623,2010-02-01
29651,4,2010-02-12,30.0,8758.0,2.573,1,126.4962581,8.623,2010-02-01
29650,4,2010-02-12,48.0,2952.0,2.573,1,126.4962581,8.623,2010-02-01
29649,4,2010-02-12,49.0,6793.11,2.573,1,126.4962581,8.623,2010-02-01
29648,4,2010-02-12,26.0,23256.1,2.573,1,126.4962581,8.623,2010-02-01
29647,4,2010-02-12,54.0,632.0,2.573,1,126.4962581,8.623,2010-02-01
29646,4,2010-02-12,34.0,24422.5,2.573,1,126.4962581,8.623,2010-02-01
29661,4,2010-02-12,72.0,134198.68,2.573,1,126.4962581,8.623,2010-02-01
29662,4,2010-02-12,78.0,1.0,2.573,1,126.4962581,8.623,2010-02-01
29663,4,2010-02-12,18.0,31660.95,2.573,1,126.4962581,8.623,2010-02-01
29664,4,2010-02-12,93.0,59740.02,2.573,1,126.4962581,8.623,2010-02-01
29680,4,2010-02-19,38.0,78996.92,2.54,0,126.5262857,8.623,2010-02-01
29679,4,2010-02-19,6.0,7730.32,2.54,0,126.5262857,8.623,2010-02-01
29678,4,2010-02-19,37.0,5006.2,2.54,0,126.5262857,8.623,2010-02-01
29677,4,2010-02-19,9.0,23622.09,2.54,0,126.5262857,8.623,2010-02-01
29676,4,2010-02-19,17.0,19987.66,2.54,0,126.5262857,8.623,2010-02-01
29675,4,2010-02-19,28.0,1212.77,2.54,0,126.5262857,8.623,2010-02-01
29674,4,2010-02-19,52.0,3501.37,2.54,0,126.5262857,8.623,2010-02-01
29682,4,2010-02-19,21.0,10264.33,2.54,0,126.5262857,8.623,2010-02-01
29673,4,2010-02-19,74.0,20869.19,2.54,0,126.5262857,8.623,2010-02-01
29671,4,2010-02-19,11.0,22935.19,2.54,0,126.5262857,8.623,2010-02-01
29670,4,2010-02-19,87.0,16038.17,2.54,0,126.5262857,8.623,2010-02-01
29669,4,2010-02-19,80.0,15859.12,2.54,0,126.5262857,8.623,2010-02-01
29668,4,2010-02-19,67.0,17185.38,2.54,0,126.5262857,8.623,2010-02-01
29667,4,2010-02-19,58.0,6364.88,2.54,0,126.5262857,8.623,2010-02-01
29666,4,2010-02-19,23.0,41361.97,2.54,0,126.5262857,8.623,2010-02-01
29665,4,2010-02-12,71.0,10057.88,2.573,1,126.4962581,8.623,2010-02-01
29672,4,2010-02-19,8.0,67007.65,2.54,0,126.5262857,8.623,2010-02-01
203034,22,2010-02-26,12.0,3265.61,2.753,0,135.5195191,8.283,2010-02-01
203033,22,2010-02-26,28.0,1065.05,2.753,0,135.5195191,8.283,2010-02-01
203032,22,2010-02-26,93.0,1594.69,2.753,0,135.5195191,8.283,2010-02-01
87821,10,2010-02-26,82.0,21601.29,2.825,0,126.5522857,9.765,2010-02-01
87822,10,2010-02-26,8.0,93758.01,2.825,0,126.5522857,9.765,2010-02-01
87823,10,2010-02-26,22.0,31567.7,2.825,0,126.5522857,9.765,2010-02-01
202825,22,2010-02-05,1.0,20686.31,2.788,0,135.3524608,8.283,2010-02-01
202826,22,2010-02-05,46.0,21911.7,2.788,0,135.3524608,8.283,2010-02-01
